Banco de México,
Fecha,Tasa de rendimiento (%)
02/01/2025,10.04
09/01/2025,9.88
16/01/2025,9.78
23/01/2025,9.75
30/01/2025,9.87
06/02/2025,9.65
13/02/2025,9.35
20/02/2025,9.37
27/02/2025,9.44
06/03/2025,9.15
13/03/2025,9.14
20/03/2025,9.1
27/03/2025,9.02
03/04/2025,8.8
10/04/2025,8.8
16/04/2025,9
24/04/2025,8.8
30/04/2025,8.65
08/05/2025,8.55
15/05/2025,8.4
22/05/2025,8.15
29/05/2025,8.12
05/06/2025,8.1
12/06/2025,8.1
19/06/2025,8.14
26/06/2025,8
03/07/2025,7.7
10/07/2025,7.85
17/07/2025,7.65
24/07/2025,7.65
31/07/2025,7.48
07/08/2025,7.5
14/08/2025,7.38
21/08/2025,7.4
28/08/2025,7.27
04/09/2025,7.35
11/09/2025,7.35
18/09/2025,7.25
25/09/2025,7.2
02/10/2025,7.19
09/10/2025,7.47
16/10/2025,7.4
23/10/2025,7.1
30/10/2025,7.1
06/11/2025,7.3
13/11/2025,7.05
20/11/2025,7.25
27/11/2025,7.15
04/12/2025,7.29
11/12/2025,7.25
18/12/2025,7.15
24/12/2025,7.04
31/12/2025,7.07
