AÑO,PRECIO_MEDIO_RURAL,CRECIMIENTO_PRECIO,VARIACION_ANUAL,VOLATILIDAD
2002,1467.39,,,
2003,1732.7220000000002,0.1808190051724492,265.3320000000001,
2004,1770.065625,0.021552000263169502,37.34362499999975,
2005,1702.0815625,-0.03840765084627862,-67.98406249999994,0.11330009217640621
2006,2081.7821875,0.2230801586513278,379.70062499999995,0.1369821356359689
2007,2546.3051612903228,0.22313716419495622,464.5229737903228,0.1509865159765612
2008,2881.5099999999998,0.13164362379087913,335.204838709677,0.052807371790610444
2009,2934.542258064516,0.018404329002681186,53.0322580645161,0.10255871458638392
2010,3010.394193548387,0.025847961560417243,75.85193548387133,0.06333938703072124
2011,4047.8329032258066,0.34461889140656954,1037.4387096774194,0.18622846815358976
2012,4094.2765625,0.011473709608215588,46.44365927419358,0.18832916086364332
2013,3549.008125,-0.13317821333668156,-545.2684375000003,0.24501699405964616
2014,3308.7375,-0.0677007818909966,-240.27062499999965,0.07243396181412382
2015,3547.7284375,0.07223025020872753,238.99093749999975,0.10492904322231611
2016,3597.92875,0.014149987346657067,50.20031250000011,0.07030120803065538
2017,3693.488125,0.026559551797683545,95.55937499999982,0.030586290276701796
2018,3899.494375,0.05577552790967766,206.00625000000036,0.021370759529493105
2019,4071.4859375,0.044106118886246604,171.99156249999987,0.014706180014573522
2020,4246.1603125,0.04290187358653985,174.67437500000005,0.007110512045904376
2021,4983.180625,0.17357335999075052,737.0203124999998,0.07509799607295292
2022,6054.7675,0.2150407451867149,1071.586875,0.08983908996075331
2023,6171.658125,0.019305551369230844,116.890625,0.10314259297258048
2024,5564.7496875,-0.09833798716775166,-606.9084375000002,0.15830271536435236
